delta_t,ir_v_d,re_v_d,ta,tb1,tb2,tc,va,vb1,vb2,vc,bat_id
3517,1.21412,0.16783,2010/1/1 6:40,2010/1/1 7:42,2010/1/1 7:42,2010/1/1 8:40,4.18194,2.79999,2.96782,3.39578,cell_v_drop_test19_Old
3520,1.21493,0.16735,2010/1/1 10:56,2010/1/1 11:58,2010/1/1 11:58,2010/1/1 12:57,4.18227,2.79999,2.96734,3.39417,cell_v_drop_test19_Old
3574,1.20034,0.18443,2010/1/1 6:46,2010/1/1 7:48,2010/1/1 7:48,2010/1/1 8:48,4.18463,2.79986,2.98429,3.40253,cell_v_drop_test17_Old
3530,1.20372,0.18153,2010/1/1 11:04,2010/1/1 12:05,2010/1/1 12:05,2010/1/1 13:04,4.18511,2.79986,2.98139,3.40253,cell_v_drop_test17_Old
883,0.84015,0.14476,2013/3/27 14:07,2013/3/27 15:07,2013/3/27 15:07,2013/3/27 15:22,3.48474,2.49983,2.64459,2.97289,cell_v_drop_ATL60_LFP_cell_2013_1
890,0.84403,0.14282,2013/3/27 16:41,2013/3/27 17:42,2013/3/27 17:42,2013/3/27 17:57,3.48797,2.50112,2.64394,2.97289,cell_v_drop_ATL60_LFP_cell_2013_1
885,0.8576,0.13894,2013/3/27 19:16,2013/3/27 20:17,2013/3/27 20:18,2013/3/27 20:32,3.49831,2.50177,2.64071,2.86303,cell_v_drop_ATL60_LFP_cell_2013_1
880,0.88862,0.14153,2013/3/27 21:53,2013/3/27 22:54,2013/3/27 22:54,2013/3/27 23:09,3.53127,2.50112,2.64265,2.96449,cell_v_drop_ATL60_LFP_cell_2013_1
895,0.84596,0.14153,2013/3/28 0:28,2013/3/28 1:29,2013/3/28 1:29,2013/3/28 1:44,3.48926,2.50177,2.6433,2.97354,cell_v_drop_ATL60_LFP_cell_2013_1
884,0.84661,0.14347,2013/3/28 3:03,2013/3/28 4:04,2013/3/28 4:04,2013/3/28 4:18,3.48991,2.49983,2.6433,2.97225,cell_v_drop_ATL60_LFP_cell_2013_1
892,0.84596,0.14347,2013/3/28 5:38,2013/3/28 6:39,2013/3/28 6:39,2013/3/28 6:53,3.48926,2.49983,2.6433,2.9716,cell_v_drop_ATL60_LFP_cell_2013_1
884,0.84532,0.14411,2013/3/28 8:13,2013/3/28 9:13,2013/3/28 9:13,2013/3/28 9:28,3.48926,2.49983,2.64394,2.97096,cell_v_drop_ATL60_LFP_cell_2013_1
895,0.84532,0.14347,2013/3/28 10:48,2013/3/28 11:48,2013/3/28 11:48,2013/3/28 12:03,3.48926,2.50047,2.64394,2.97031,cell_v_drop_ATL60_LFP_cell_2013_1
881,0.84597,0.14411,2013/3/28 13:23,2013/3/28 14:23,2013/3/28 14:23,2013/3/28 14:38,3.48991,2.49983,2.64394,2.96514,cell_v_drop_ATL60_LFP_cell_2013_1
890,0.84402,0.14541,2013/3/28 15:57,2013/3/28 16:58,2013/3/28 16:58,2013/3/28 17:13,3.48926,2.49983,2.64524,2.96902,cell_v_drop_ATL60_LFP_cell_2013_1
864,0.84402,0.14412,2013/3/28 18:32,2013/3/28 19:33,2013/3/28 19:33,2013/3/28 19:47,3.48926,2.50112,2.64524,2.96708,cell_v_drop_ATL60_LFP_cell_2013_1
868,0.84403,0.14282,2013/3/28 21:07,2013/3/28 22:07,2013/3/28 22:07,2013/3/28 22:22,3.48991,2.50306,2.64588,2.96643,cell_v_drop_ATL60_LFP_cell_2013_1
866,0.84403,0.14605,2013/3/28 23:42,2013/3/29 0:42,2013/3/29 0:42,2013/3/29 0:57,3.48991,2.49983,2.64588,2.96579,cell_v_drop_ATL60_LFP_cell_2013_1
882,0.84403,0.14411,2013/3/29 2:17,2013/3/29 3:17,2013/3/29 3:17,2013/3/29 3:32,3.48991,2.50177,2.64588,2.96514,cell_v_drop_ATL60_LFP_cell_2013_1
885,0.84338,0.14606,2013/3/29 4:51,2013/3/29 5:52,2013/3/29 5:52,2013/3/29 6:06,3.48991,2.50047,2.64653,2.96449,cell_v_drop_ATL60_LFP_cell_2013_1
889,0.84403,0.14605,2013/3/29 7:26,2013/3/29 8:26,2013/3/29 8:26,2013/3/29 8:41,3.48991,2.49983,2.64588,2.96385,cell_v_drop_ATL60_LFP_cell_2013_1
867,0.84403,0.14605,2013/3/29 10:01,2013/3/29 11:01,2013/3/29 11:01,2013/3/29 11:16,3.48991,2.49983,2.64588,2.96255,cell_v_drop_ATL60_LFP_cell_2013_1
876,0.84596,0.14476,2013/3/29 12:36,2013/3/29 13:36,2013/3/29 13:36,2013/3/29 13:51,3.49055,2.49983,2.64459,2.96255,cell_v_drop_ATL60_LFP_cell_2013_1
875,0.84403,0.14218,2013/3/29 15:10,2013/3/29 16:11,2013/3/29 16:11,2013/3/29 16:25,3.48991,2.5037,2.64588,2.96191,cell_v_drop_ATL60_LFP_cell_2013_1
896,0.84338,0.1467,2013/3/29 17:45,2013/3/29 18:45,2013/3/29 18:45,2013/3/29 19:00,3.48991,2.49983,2.64653,2.96191,cell_v_drop_ATL60_LFP_cell_2013_1
891,0.84402,0.1467,2013/3/29 20:20,2013/3/29 21:20,2013/3/29 21:20,2013/3/29 21:35,3.49055,2.49983,2.64653,2.96061,cell_v_drop_ATL60_LFP_cell_2013_1
897,0.84337,0.14735,2013/3/29 22:54,2013/3/29 23:55,2013/3/29 23:55,2013/3/30 0:10,3.49055,2.49983,2.64718,2.96061,cell_v_drop_ATL60_LFP_cell_2013_1
891,0.84273,0.14541,2013/3/30 1:29,2013/3/30 2:29,2013/3/30 2:29,2013/3/30 2:44,3.48991,2.50177,2.64718,2.95997,cell_v_drop_ATL60_LFP_cell_2013_1
899,0.84337,0.14671,2013/3/30 4:04,2013/3/30 5:04,2013/3/30 5:04,2013/3/30 5:19,3.49055,2.50047,2.64718,2.95932,cell_v_drop_ATL60_LFP_cell_2013_1
896,0.84273,0.14735,2013/3/30 6:38,2013/3/30 7:39,2013/3/30 7:39,2013/3/30 7:54,3.48991,2.49983,2.64718,2.95868,cell_v_drop_ATL60_LFP_cell_2013_1
888,0.84402,0.14412,2013/3/30 9:13,2013/3/30 10:13,2013/3/30 10:13,2013/3/30 10:28,3.49055,2.50241,2.64653,2.95803,cell_v_drop_ATL60_LFP_cell_2013_1
871,0.84337,0.14412,2013/3/30 11:47,2013/3/30 12:48,2013/3/30 12:48,2013/3/30 13:02,3.49055,2.50306,2.64718,2.95738,cell_v_drop_ATL60_LFP_cell_2013_1
877,0.84337,0.14412,2013/3/30 14:22,2013/3/30 15:22,2013/3/30 15:22,2013/3/30 15:37,3.49055,2.50306,2.64718,2.95674,cell_v_drop_ATL60_LFP_cell_2013_1
898,0.84337,0.14735,2013/3/30 16:57,2013/3/30 17:57,2013/3/30 17:57,2013/3/30 18:12,3.49055,2.49983,2.64718,2.95674,cell_v_drop_ATL60_LFP_cell_2013_1
899,0.84208,0.14864,2013/3/30 19:31,2013/3/30 20:32,2013/3/30 20:32,2013/3/30 20:47,3.49055,2.49983,2.64847,2.95609,cell_v_drop_ATL60_LFP_cell_2013_1
879,0.84208,0.14864,2013/3/30 22:06,2013/3/30 23:06,2013/3/30 23:06,2013/3/30 23:21,3.49055,2.49983,2.64847,2.95544,cell_v_drop_ATL60_LFP_cell_2013_1
867,0.84273,0.14735,2013/3/31 0:40,2013/3/31 1:41,2013/3/31 1:41,2013/3/31 1:55,3.49055,2.50047,2.64782,2.9548,cell_v_drop_ATL60_LFP_cell_2013_1
894,0.84208,0.14864,2013/3/31 3:15,2013/3/31 4:15,2013/3/31 4:15,2013/3/31 4:30,3.49055,2.49983,2.64847,2.9548,cell_v_drop_ATL60_LFP_cell_2013_1
899,0.84273,0.14605,2013/3/31 5:49,2013/3/31 6:50,2013/3/31 6:50,2013/3/31 7:05,3.49055,2.50177,2.64782,2.95415,cell_v_drop_ATL60_LFP_cell_2013_1
885,0.84144,0.14864,2013/3/31 8:24,2013/3/31 9:24,2013/3/31 9:24,2013/3/31 9:39,3.49055,2.50047,2.64911,2.95351,cell_v_drop_ATL60_LFP_cell_2013_1
892,0.84273,0.1467,2013/3/31 10:58,2013/3/31 11:59,2013/3/31 11:59,2013/3/31 12:14,3.49055,2.50112,2.64782,2.95351,cell_v_drop_ATL60_LFP_cell_2013_1
876,0.84208,0.14864,2013/3/31 13:33,2013/3/31 14:33,2013/3/31 14:33,2013/3/31 14:48,3.49055,2.49983,2.64847,2.95286,cell_v_drop_ATL60_LFP_cell_2013_1
898,0.84208,0.14864,2013/3/31 16:07,2013/3/31 17:08,2013/3/31 17:08,2013/3/31 17:23,3.49055,2.49983,2.64847,2.95221,cell_v_drop_ATL60_LFP_cell_2013_1
876,0.84015,0.14735,2013/4/3 14:37,2013/4/3 15:38,2013/4/3 15:38,2013/4/3 15:52,3.48797,2.50047,2.64782,2.94252,cell_v_drop_ATL60_LFP_cell_2013_1
876,0.8395,0.14799,2013/4/3 17:12,2013/4/3 18:12,2013/4/3 18:12,2013/4/3 18:27,3.48926,2.50177,2.64976,2.94317,cell_v_drop_ATL60_LFP_cell_2013_1
882,0.84015,0.14929,2013/4/3 19:46,2013/4/3 20:47,2013/4/3 20:47,2013/4/3 21:01,3.48991,2.50047,2.64976,2.94317,cell_v_drop_ATL60_LFP_cell_2013_1
866,0.84079,0.14993,2013/4/3 22:21,2013/4/3 23:21,2013/4/3 23:21,2013/4/3 23:36,3.49055,2.49983,2.64976,2.94252,cell_v_drop_ATL60_LFP_cell_2013_1
893,0.84208,0.14606,2013/4/4 0:56,2013/4/4 1:56,2013/4/4 1:56,2013/4/4 2:11,3.49055,2.50241,2.64847,2.94252,cell_v_drop_ATL60_LFP_cell_2013_1
887,0.84079,0.14929,2013/4/4 3:30,2013/4/4 4:30,2013/4/4 4:30,2013/4/4 4:45,3.49055,2.50047,2.64976,2.94187,cell_v_drop_ATL60_LFP_cell_2013_1
898,0.84079,0.14735,2013/4/4 6:05,2013/4/4 7:05,2013/4/4 7:05,2013/4/4 7:20,3.49055,2.50241,2.64976,2.94187,cell_v_drop_ATL60_LFP_cell_2013_1
887,0.84079,0.14993,2013/4/4 8:39,2013/4/4 9:39,2013/4/4 9:39,2013/4/4 9:54,3.49055,2.49983,2.64976,2.94123,cell_v_drop_ATL60_LFP_cell_2013_1
884,0.84144,0.14993,2013/4/4 11:14,2013/4/4 12:14,2013/4/4 12:14,2013/4/4 12:29,3.4912,2.49983,2.64976,2.94123,cell_v_drop_ATL60_LFP_cell_2013_1
879,0.84144,0.14929,2013/4/4 13:48,2013/4/4 14:48,2013/4/4 14:48,2013/4/4 15:03,3.4912,2.50047,2.64976,2.94058,cell_v_drop_ATL60_LFP_cell_2013_1
866,0.84144,0.14929,2013/4/4 16:23,2013/4/4 17:23,2013/4/4 17:23,2013/4/4 17:37,3.4912,2.50047,2.64976,2.93993,cell_v_drop_ATL60_LFP_cell_2013_1
879,0.84144,0.14929,2013/4/4 18:57,2013/4/4 19:57,2013/4/4 19:57,2013/4/4 20:12,3.4912,2.50047,2.64976,2.93993,cell_v_drop_ATL60_LFP_cell_2013_1
896,0.84144,0.14993,2013/4/4 21:32,2013/4/4 22:32,2013/4/4 22:32,2013/4/4 22:47,3.4912,2.49983,2.64976,2.93993,cell_v_drop_ATL60_LFP_cell_2013_1
864,0.84144,0.14993,2013/4/5 0:06,2013/4/5 1:06,2013/4/5 1:06,2013/4/5 1:21,3.4912,2.49983,2.64976,2.93929,cell_v_drop_ATL60_LFP_cell_2013_1
876,0.84726,0.14217,2013/4/5 2:41,2013/4/5 3:41,2013/4/5 3:41,2013/4/5 3:56,3.4912,2.50177,2.64394,2.86626,cell_v_drop_ATL60_LFP_cell_2013_1
885,0.88603,0.13701,2013/4/5 5:16,2013/4/5 6:17,2013/4/5 6:17,2013/4/5 6:32,3.52287,2.49983,2.63684,2.81327,cell_v_drop_ATL60_LFP_cell_2013_1
876,0.89896,0.1286,2013/4/5 7:53,2013/4/5 8:54,2013/4/5 8:54,2013/4/5 9:09,3.53256,2.505,2.6336,2.79969,cell_v_drop_ATL60_LFP_cell_2013_1
878,0.908,0.1299,2013/4/5 10:30,2013/4/5 11:31,2013/4/5 11:31,2013/4/5 11:46,3.53902,2.50112,2.63102,2.79259,cell_v_drop_ATL60_LFP_cell_2013_1
881,0.91188,0.1286,2013/4/5 13:07,2013/4/5 14:08,2013/4/5 14:08,2013/4/5 14:23,3.54225,2.50177,2.63037,2.79129,cell_v_drop_ATL60_LFP_cell_2013_1
890,0.91253,0.12925,2013/4/5 15:44,2013/4/5 16:46,2013/4/5 16:46,2013/4/5 17:00,3.5429,2.50112,2.63037,2.79194,cell_v_drop_ATL60_LFP_cell_2013_1
887,0.91188,0.13119,2013/4/5 18:21,2013/4/5 19:23,2013/4/5 19:23,2013/4/5 19:38,3.5429,2.49983,2.63102,2.79452,cell_v_drop_ATL60_LFP_cell_2013_1
874,0.91252,0.1299,2013/4/5 20:59,2013/4/5 22:00,2013/4/5 22:00,2013/4/5 22:14,3.54225,2.49983,2.62973,2.79582,cell_v_drop_ATL60_LFP_cell_2013_1
878,0.908,0.13184,2013/4/5 23:36,2013/4/6 0:37,2013/4/6 0:37,2013/4/6 0:52,3.53967,2.49983,2.63167,2.79969,cell_v_drop_ATL60_LFP_cell_2013_1
896,0.90865,0.13119,2013/4/6 2:12,2013/4/6 3:14,2013/4/6 3:14,2013/4/6 3:29,3.53967,2.49983,2.63102,2.79711,cell_v_drop_ATL60_LFP_cell_2013_1
882,0.91124,0.12343,2013/4/6 4:49,2013/4/6 5:51,2013/4/6 5:51,2013/4/6 6:06,3.54161,2.50694,2.63037,2.79452,cell_v_drop_ATL60_LFP_cell_2013_1
897,0.91317,0.12473,2013/4/6 7:27,2013/4/6 8:28,2013/4/6 8:28,2013/4/6 8:43,3.5429,2.505,2.62973,2.79259,cell_v_drop_ATL60_LFP_cell_2013_1
898,0.91382,0.1299,2013/4/6 10:04,2013/4/6 11:05,2013/4/6 11:05,2013/4/6 11:20,3.54355,2.49983,2.62973,2.79259,cell_v_drop_ATL60_LFP_cell_2013_1
876,0.91382,0.12473,2013/4/6 12:41,2013/4/6 13:42,2013/4/6 13:42,2013/4/6 13:57,3.54355,2.505,2.62973,2.79194,cell_v_drop_ATL60_LFP_cell_2013_1
879,0.91576,0.12538,2013/4/6 15:18,2013/4/6 16:19,2013/4/6 16:20,2013/4/6 16:34,3.54484,2.5037,2.62908,2.78871,cell_v_drop_ATL60_LFP_cell_2013_1
890,0.91899,0.1286,2013/4/6 17:55,2013/4/6 18:57,2013/4/6 18:57,2013/4/6 19:12,3.54742,2.49983,2.62843,2.78483,cell_v_drop_ATL60_LFP_cell_2013_1
895,0.92222,0.1215,2013/4/6 20:33,2013/4/6 21:34,2013/4/6 21:34,2013/4/6 21:49,3.55001,2.50629,2.62779,2.78354,cell_v_drop_ATL60_LFP_cell_2013_1
883,0.91899,0.13119,2013/4/6 23:11,2013/4/7 0:12,2013/4/7 0:12,2013/4/7 0:27,3.55001,2.49983,2.63102,2.78418,cell_v_drop_ATL60_LFP_cell_2013_1
893,0.92351,0.12473,2013/4/7 1:48,2013/4/7 2:50,2013/4/7 2:50,2013/4/7 3:04,3.55001,2.50177,2.6265,2.78354,cell_v_drop_ATL60_LFP_cell_2013_1
894,0.91899,0.12861,2013/4/7 4:25,2013/4/7 5:27,2013/4/7 5:27,2013/4/7 5:42,3.54872,2.50112,2.62973,2.79,cell_v_drop_ATL60_LFP_cell_2013_1
866,0.91382,0.12408,2013/4/7 7:03,2013/4/7 8:04,2013/4/7 8:04,2013/4/7 8:18,3.54484,2.50694,2.63102,2.79517,cell_v_drop_ATL60_LFP_cell_2013_1
894,0.91382,0.13055,2013/4/7 9:40,2013/4/7 10:41,2013/4/7 10:41,2013/4/7 10:56,3.54355,2.49918,2.62973,2.79323,cell_v_drop_ATL60_LFP_cell_2013_1
880,0.91511,0.12796,2013/4/7 12:17,2013/4/7 13:18,2013/4/7 13:18,2013/4/7 13:33,3.54484,2.50177,2.62973,2.79,cell_v_drop_ATL60_LFP_cell_2013_1
892,0.91964,0.12537,2013/4/7 14:54,2013/4/7 15:56,2013/4/7 15:56,2013/4/7 16:10,3.54807,2.50306,2.62843,2.78483,cell_v_drop_ATL60_LFP_cell_2013_1
880,0.84725,0.14735,2013/4/7 17:31,2013/4/7 18:31,2013/4/7 18:31,2013/4/7 18:46,3.49443,2.49983,2.64718,2.92442,cell_v_drop_ATL60_LFP_cell_2013_1
890,0.86405,0.13184,2013/4/13 11:43,2013/4/13 12:44,2013/4/13 12:44,2013/4/13 12:58,3.49572,2.49983,2.63167,2.90051,cell_v_drop_ATL60_LFP_cell_2013_1
893,0.866,0.1299,2013/4/13 14:18,2013/4/13 15:18,2013/4/13 15:18,2013/4/13 15:33,3.49831,2.50241,2.63231,2.89987,cell_v_drop_ATL60_LFP_cell_2013_1
854,0.866,0.13248,2013/4/13 16:53,2013/4/13 17:53,2013/4/13 17:53,2013/4/13 18:07,3.49831,2.49983,2.63231,2.89857,cell_v_drop_ATL60_LFP_cell_2013_1
898,0.866,0.13248,2013/4/13 19:27,2013/4/13 20:28,2013/4/13 20:28,2013/4/13 20:43,3.49831,2.49983,2.63231,2.89857,cell_v_drop_ATL60_LFP_cell_2013_1
896,0.866,0.13248,2013/4/13 22:02,2013/4/13 23:02,2013/4/13 23:02,2013/4/13 23:17,3.49831,2.49983,2.63231,2.89793,cell_v_drop_ATL60_LFP_cell_2013_1
878,0.866,0.13248,2013/4/14 0:36,2013/4/14 1:37,2013/4/14 1:37,2013/4/14 1:51,3.49831,2.49983,2.63231,2.89728,cell_v_drop_ATL60_LFP_cell_2013_1
896,0.866,0.12861,2013/4/14 3:11,2013/4/14 4:11,2013/4/14 4:11,2013/4/14 4:26,3.49831,2.5037,2.63231,2.89793,cell_v_drop_ATL60_LFP_cell_2013_1
880,0.866,0.13248,2013/4/14 5:45,2013/4/14 6:45,2013/4/14 6:45,2013/4/14 7:00,3.49831,2.49983,2.63231,2.89599,cell_v_drop_ATL60_LFP_cell_2013_1
898,0.866,0.13184,2013/4/14 8:20,2013/4/14 9:20,2013/4/14 9:20,2013/4/14 9:35,3.49831,2.50047,2.63231,2.89599,cell_v_drop_ATL60_LFP_cell_2013_1
879,0.86535,0.13313,2013/4/14 10:54,2013/4/14 11:54,2013/4/14 11:54,2013/4/14 12:09,3.49831,2.49983,2.63296,2.89534,cell_v_drop_ATL60_LFP_cell_2013_1
869,0.86018,0.1383,2013/4/14 13:28,2013/4/14 14:29,2013/4/14 14:29,2013/4/14 14:43,3.49831,2.49983,2.63813,2.8947,cell_v_drop_ATL60_LFP_cell_2013_1
878,0.866,0.13248,2013/4/14 16:03,2013/4/14 17:03,2013/4/14 17:03,2013/4/14 17:18,3.49831,2.49983,2.63231,2.8947,cell_v_drop_ATL60_LFP_cell_2013_1
888,0.866,0.13184,2013/4/14 18:37,2013/4/14 19:37,2013/4/14 19:37,2013/4/14 19:52,3.49831,2.50047,2.63231,2.8947,cell_v_drop_ATL60_LFP_cell_2013_1
884,0.86599,0.12926,2013/4/14 21:12,2013/4/14 22:12,2013/4/14 22:12,2013/4/14 22:26,3.49895,2.5037,2.63296,2.8947,cell_v_drop_ATL60_LFP_cell_2013_1
876,0.86664,0.13248,2013/4/14 23:46,2013/4/15 0:46,2013/4/15 0:46,2013/4/15 1:01,3.49895,2.49983,2.63231,2.89405,cell_v_drop_ATL60_LFP_cell_2013_1
895,0.86599,0.13119,2013/4/15 2:20,2013/4/15 3:20,2013/4/15 3:20,2013/4/15 3:35,3.49895,2.50177,2.63296,2.8947,cell_v_drop_ATL60_LFP_cell_2013_1
863,0.86599,0.12926,2013/4/15 4:54,2013/4/15 5:55,2013/4/15 5:55,2013/4/15 6:09,3.49895,2.5037,2.63296,2.8934,cell_v_drop_ATL60_LFP_cell_2013_1
865,0.86599,0.13184,2013/4/15 7:29,2013/4/15 8:29,2013/4/15 8:29,2013/4/15 8:43,3.49895,2.50112,2.63296,2.8934,cell_v_drop_ATL60_LFP_cell_2013_1
